413;11A;Isco;REAL MADRID;BASE;Nuevos I
414;11B;Kovacic;REAL MADRID;BASE;Nuevos I
415;12;Bale;REAL MADRID;BASE;Nuevos I
416;13;James Rodríguez;REAL MADRID;BASE;Nuevos I
417;14A;Lucas Vázquez;REAL MADRID;BASE;Nuevos I
418;14B;Jesé;REAL MADRID;BASE;Nuevos I
419;15;Cristiano Ronaldo;REAL MADRID;BASE;Nuevos I
420;16;Benzema;REAL MADRID;BASE;Nuevos I
421;13BIS;Mariano;REAL MADRID;BASE;Nuevos IV
431;1;Kameni;MÁLAGA CF;BASE;Nuevos I
432;2;Ochoa;MÁLAGA CF;BASE;Nuevos I
433;3;Rosales;MÁLAGA CF;BASE;Nuevos I
434;4;Diego Llorente;MÁLAGA CF;BASE;Nuevos II
435;5;Weligton;MÁLAGA CF;BASE;Nuevos I
436;6;Koné;MÁLAGA CF;BASE;Nuevos II
437;7A;Torres;MÁLAGA CF;BASE;Nuevos I
438;7B;Ricca;MÁLAGA CF;BASE;Nuevos I
439;8;Camacho;MÁLAGA CF;BASE;Nuevos I
440;9;Recio;MÁLAGA CF;BASE;Nuevos I
441;10;Juan Carlos;MÁLAGA CF;BASE;Nuevos I
442;11;Juanpi;MÁLAGA CF;BASE;Nuevos I
443;12A;Pablo Fornals;MÁLAGA CF;BASE;Nuevos I
444;12B;Duda;MÁLAGA CF;BASE;Nuevos I
445;13;Keko;MÁLAGA CF;BASE;Nuevos I
446;14;Castro;MÁLAGA CF;BASE;Nuevos I
447;15;Charles;MÁLAGA CF;BASE;Nuevos I
448;16;Michael Santos;MÁLAGA CF;BASE;Nuevos I
449;2BIS;Boyko;MÁLAGA CF;BASE;Nuevos IV
461;1;Nauzet;C.AT. OSASUNA;BASE;Nuevos I
462;2;Mario;C.AT. OSASUNA;BASE;Nuevos I
463;3;Javier Flaño;C.AT. OSASUNA;BASE;Nuevos I
464;4;Tano;C.AT. OSASUNA;BASE;Nuevos I
465;5;Miguel Flaño;C.AT. OSASUNA;BASE;Nuevos I
466;6;David García;C.AT. OSASUNA;BASE;Nuevos I
467;7;Unai García;C.AT. OSASUNA;BASE;Nuevos I
468;8;Oier;C.AT. OSASUNA;BASE;Nuevos I
469;9;Fausto Tienza;C.AT. OSASUNA;BASE;Nuevos II
470;10;Roberto Torres;C.AT. OSASUNA;BASE;Nuevos I
471;11;De las Cuevas;C.AT. OSASUNA;BASE;Nuevos I
472;12A;Olavide;C.AT. OSASUNA;BASE;Nuevos I
473;12B;Otegui;C.AT. OSASUNA;BASE;Nuevos II
474;13;Berenguer;C.AT. OSASUNA;BASE;Nuevos I
475;14;Jaime Romero;C.AT. OSASUNA;BASE;Nuevos II
476;15A;Kenan Kodro;C.AT. OSASUNA;BASE;Nuevos I
477;15B;Urko Vera;C.AT. OSASUNA;BASE;Nuevos I
478;16;Nino;C.AT. OSASUNA;BASE;Nuevos I
479;7BIS;Fuentes;C.AT. OSASUNA;BASE;Nuevos III
480;9BIS;Digard;C.AT. OSASUNA;BASE;Nuevos IV
481;14BIS;Rivière;C.AT. OSASUNA;BASE;Nuevos IV
482;16BIS;Oriol Riera;C.AT. OSASUNA;BASE;Nuevos IV
491;1;Rulli;REAL SOCIEDAD;BASE;Nuevos I
492;2;Toño Ramírez;REAL SOCIEDAD;BASE;Nuevos II
493;3A;Zaldúa;REAL SOCIEDAD;BASE;Nuevos I
494;3B;Carlos Martínez;REAL SOCIEDAD;BASE;Nuevos I
495;4;Aritz Elustondo;REAL SOCIEDAD;BASE;Nuevos I
496;5;Íñigo Martínez;REAL SOCIEDAD;BASE;Nuevos I
497;6;Mikel González;REAL SOCIEDAD;BASE;Nuevos I
498;7A;Yuri;REAL SOCIEDAD;BASE;Nuevos I
499;7B;Héctor;REAL SOCIEDAD;BASE;Nuevos I
500;8;Markel;REAL SOCIEDAD;BASE;Nuevos I
501;9;Illarramendi;REAL SOCIEDAD;BASE;Nuevos I
502;10;Rubén Pardo;REAL SOCIEDAD;BASE;Nuevos I
503;11A;Zurutuza;REAL SOCIEDAD;BASE;Nuevos I
504;11B;Granero;REAL SOCIEDAD;BASE;Nuevos I
505;12;Canales;REAL SOCIEDAD;BASE;Nuevos I
506;13A;Xabi Prieto;REAL SOCIEDAD;BASE;Nuevos I
507;13B;Jonathas;REAL SOCIEDAD;BASE;Nuevos I
508;14;Oyarzábal;REAL SOCIEDAD;BASE;Nuevos I
509;15;Vela;REAL SOCIEDAD;BASE;Nuevos I
510;16;Aguirretxe;REAL SOCIEDAD;BASE;Nuevos I
521;1;Sergio Rico;SEVILLA FC;BASE;Nuevos I
522;2;David Soria;SEVILLA FC;BASE;Nuevos I
523;3;Mariano;SEVILLA FC;BASE;Nuevos I
524;4;Coke;SEVILLA FC;BASE;Nuevos I
525;5;Kolodziejczak;SEVILLA FC;BASE;Nuevos I
526;6;Rami;SEVILLA FC;BASE;Nuevos I
527;7;Carriço;SEVILLA FC;BASE;Nuevos I
528;8A;Tremoulinas;SEVILLA FC;BASE;Nuevos I
529;8B;Escudero;SEVILLA FC;BASE;Nuevos I
530;9;N'Zonzi;SEVILLA FC;BASE;Nuevos I
531;10A;Krohn-Dehli;SEVILLA FC;BASE;Nuevos I
532;10B;Cristóforo;SEVILLA FC;BASE;Nuevos I
533;11;Sarabia;SEVILLA FC;BASE;Nuevos I
534;12;Iborra;SEVILLA FC;BASE;Nuevos I
535;13;Vitolo;SEVILLA FC;BASE;Nuevos I
536;14A;Konoplyanka;SEVILLA FC;BASE;Nuevos I
537;14B;Juan Muñoz;SEVILLA FC;BASE;Nuevos I
538;15;Llorente;SEVILLA FC;BASE;Nuevos I
539;16;Gameiro;SEVILLA FC;BASE;Nuevos I
540;4BIS;Mercado;SEVILLA FC;BASE;Nuevos III
541;15BIS;Vietto;SEVILLA FC;BASE;Nuevos III
542;16BIS;Ben Yedder;SEVILLA FC;BASE;Nuevos III
543;5BIS;Pareja;SEVILLA FC;BASE;Nuevos IV
